representative,party,state,state_abbr,Democratic Majority,Not Voting,Present,Republican Majority,Neither,party_split_roll_calls,votes_cast_on_party_split_roll_calls,with_republican_pct,with_democratic_pct,missed_party_split_votes_pct
Amo,Democratic,RI,RI,376,0,0,6,0,382,382,1.6,98.4,0.0
Magaziner,Democratic,RI,RI,357,8,0,17,0,382,374,4.5,95.5,2.1
Clyburn,Democratic,SC,SC,368,6,0,8,0,382,376,2.1,97.9,1.6
Cohen,Democratic,TN,TN,367,8,0,7,0,382,374,1.9,98.1,2.1
Casar,Democratic,TX,TX,321,61,0,0,0,382,321,0.0,100.0,16.0
Castro (TX),Democratic,TX,TX,373,8,0,1,0,382,374,0.3,99.7,2.1
Crockett,Democratic,TX,TX,358,23,0,1,0,382,359,0.3,99.7,6.0
Cuellar,Democratic,TX,TX,247,5,0,130,0,382,377,34.5,65.5,1.3
Doggett,Democratic,TX,TX,371,9,0,2,0,382,373,0.5,99.5,2.4
Escobar,Democratic,TX,TX,378,2,0,2,0,382,380,0.5,99.5,0.5
Fletcher,Democratic,TX,TX,375,0,0,7,0,382,382,1.8,98.2,0.0
Garcia (TX),Democratic,TX,TX,358,22,0,2,0,382,360,0.6,99.4,5.8
"Gonzalez, V.",Democratic,TX,TX,278,9,1,94,0,382,372,25.3,74.7,2.4
"Green, Al (TX)",Democratic,TX,TX,376,4,2,0,0,382,376,0.0,100.0,1.0
Johnson (TX),Democratic,TX,TX,357,7,0,18,0,382,375,4.8,95.2,1.8
Menefee,Democratic,TX,TX,86,8,0,0,0,94,86,0.0,100.0,8.5
Turner (TX),Democratic,TX,TX,32,0,0,1,0,33,33,3.0,97.0,0.0
Veasey,Democratic,TX,TX,344,8,1,29,0,382,373,7.8,92.2,2.1
